date,trend_agent,rsi_agent,macd_agent,volume_agent,pattern_agent
2026-07-06,0.2482,0.2024,0.2054,0.1502,0.1938
2026-07-06,0.2467,0.2044,0.2101,0.1504,0.1884
2026-07-06,0.2454,0.2061,0.2142,0.1506,0.1837
2026-07-06,0.2442,0.2077,0.2178,0.1508,0.1795
2026-07-06,0.2431,0.2091,0.2209,0.1509,0.176
2026-07-06,0.2423,0.2103,0.2236,0.1511,0.1729
2026-07-06,0.2415,0.2113,0.2259,0.1512,0.1702
2026-07-06,0.2408,0.2122,0.2279,0.1513,0.1678
2026-07-06,0.2402,0.213,0.2297,0.1514,0.1657
2026-07-07,0.2399,0.2139,0.2301,0.1513,0.1648
2026-07-07,0.2397,0.2146,0.2305,0.1512,0.1641
2026-07-08,0.2395,0.2152,0.2308,0.1511,0.1634
2026-07-08,0.2396,0.2163,0.2303,0.1516,0.1623
2026-07-09,0.2397,0.2172,0.2298,0.1519,0.1613
2026-07-09,0.2398,0.2181,0.2294,0.1522,0.1605
2026-07-09,0.2399,0.2188,0.229,0.1525,0.1597
2026-07-10,0.24,0.2194,0.2288,0.1528,0.159
2026-07-12,0.2402,0.2197,0.2283,0.1534,0.1583
